"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ranking_metric","GeneSymbol"
"PDGFC",114.112112908109,1.14819142288222,0.280260387265326,4.096873746896,4.18767141239692e-05,0.00311832467512282,2.50607866872594,"PDGFC"
"DNAJC22",359.100702442428,1.14781487855834,0.220427583387072,5.20721980852446,1.91690973071438e-07,2.71669393900664e-05,4.5659592861635,"DNAJC22"
"ITGA7",1046.21770541595,1.14774435102793,0.185183507884622,6.19787563233242,5.72303326234749e-10,1.39686524082208e-07,6.85484548936921,"ITGA7"
"GDAP1L1",341.551049931847,1.13875074877998,0.351434925603591,3.24028907150924,0.00119408579239902,0.0490289394422978,1.30954750098877,"GDAP1L1"
"MATN3",174.479373772494,1.13592896100348,0.326410455059557,3.480063041474,0.000501295810590018,0.0245170745103328,1.61053135306956,"MATN3"
"ACHE",442.535318433244,1.12928412341509,0.236807838892918,4.76877846905118,1.8534633919119e-06,0.000202562339950889,3.69344129476953,"ACHE"
"MAP2",2102.03500376269,1.12686645998266,0.26904295589868,4.18842580813388,2.80896108931561e-05,0.002285349935148,2.64104729088169,"MAP2"
"TSHZ2",322.118704272441,1.1235212556046,0.324402690294674,3.46335369347287,0.000533486631004701,0.0256997825071936,1.5900705520121,"TSHZ2"
"GAD1",148.981000152399,1.11985987199789,0.311839232160178,3.59114491220486,0.000329228506979452,0.0175537927495573,1.75562903348626,"GAD1"
"NRG1",739.665235855077,1.11569508942848,0.221433439310187,5.03851221795638,4.69164475861083e-07,5.92306669036805e-05,4.22745337742224,"NRG1"
"PHACTR1",244.739799596452,1.11359679020593,0.254566203963254,4.37448794407398,1.21717849388856e-05,0.00106398517981956,2.97306442125846,"PHACTR1"
"CEBPD",1423.77729265116,1.11308754917033,0.266327553002836,4.17939314434537,2.92288015950545e-05,0.00234331782714803,2.63016880350055,"CEBPD"
"GEM",1256.99116329815,1.10722656809063,0.1725116206987,6.41827236684799,1.37829503191986e-10,3.88166755976713e-08,7.41098166192576,"GEM"
"DRAXIN",322.140152942698,1.10432954137278,0.198357012464195,5.56738341465047,2.58592980064319e-08,4.40779375061384e-06,5.35577873517849,"DRAXIN"
"TM4SF1",99.4167677316761,1.09670099618532,0.317799487500867,3.4509212233463,0.000558676612678031,0.0264492438592636,1.57758673922212,"TM4SF1"
"VIPR2",574.168964642673,1.0949068943369,0.227112652902545,4.82098588671203,1.42850464713904e-06,0.000166031542770917,3.77980939659842,"VIPR2"
"SEL1L3",2273.46756945922,1.09017311098213,0.282933205441112,3.85311122914144,0.00011662637744885,0.00727821486766728,2.13797512730642,"SEL1L3"
"SEZ6L",484.032159093033,1.08029420623657,0.317005241437947,3.40781181199502,0.000654860410297074,0.0301579006981045,1.52059889313916,"SEZ6L"
"ELF3",167.425308315024,1.07987908504391,0.281517993486539,3.83591496824001,0.000125097687758602,0.00767603605305364,2.11486299412345,"ELF3"
"KCNT1",734.045411429244,1.0743929278545,0.27031954235464,3.97452924970171,7.05185958481176e-05,0.00479591948915047,2.31912811617185,"KCNT1"
"SPRY1",713.892900883401,1.07182181206762,0.226817996440401,4.72547076902364,2.29582859359829e-06,0.000244817799590163,3.61115700979949,"SPRY1"
"GDF15",656.676351092675,1.06698242096265,0.273242523670302,3.90489154700562,9.426765097583e-05,0.00609052202642958,2.21534548183649,"GDF15"
"SLC44A5",272.617796547509,1.06456213326145,0.316085595023498,3.36795523118448,0.000757278918722927,0.0342286954888612,1.4656096522143,"SLC44A5"
"LAMB3",147.034543220999,1.06069262524948,0.285357378288933,3.71706745979246,0.000201548640561207,0.0114403591400724,1.94156034179269,"LAMB3"
