"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"SNAI2",209.732060615666,0.924546154139871,0.24298537022332,3.80494575986263,0.000141835267961521,0.00536834410805212,"SNAI2"
"PMEL",142.805640351797,0.923430754791528,0.279814477941634,3.30015359313947,0.000966319269306051,0.0262913925353835,"PMEL"
"HSPB8",145.901575276425,0.918140892140836,0.214217056308041,4.28603075760952,1.81893815049661e-05,0.000921674327984536,"HSPB8"
"LHFPL2",2480.50615658607,0.913225098880455,0.254178615432163,3.5928478771818,0.00032708355503028,0.0110132289654784,"LHFPL2"
"TTC9",720.916138594689,0.912003745243707,0.185972850178873,4.90396175767872,9.39227827923091e-07,6.64119458689618e-05,"TTC9"
"LRRC17",575.651192087967,0.911170179808794,0.220661499223466,4.12926669589082,3.639220735512e-05,0.00170517222173568,"LRRC17"
"HBEGF",296.993890966126,0.909192220891238,0.211274084783362,4.30337786966874,1.68213592194511e-05,0.000860766657953227,"HBEGF"
"MYO1D",2235.25120959478,0.909007594489752,0.182908203886503,4.96974753004412,6.70401364962737e-07,4.85058773644667e-05,"MYO1D"
"SEZ6",453.410073036751,0.907543867845697,0.267694609825929,3.39022092538896,0.000698363188884834,0.0207323239814742,"SEZ6"
"TMEM176B",124.499519269638,0.904982769581902,0.285035106066758,3.17498704657786,0.001498431901485,0.0380977943618239,"TMEM176B"
"LITATS1",181.011904303088,0.896273596222033,0.285112902348306,3.14357431333327,0.00166898032350355,0.04174060757624,"LITATS1"
"TPBG",3258.75610085047,0.8944542362408,0.121291298801149,7.37443035965189,1.65049224885626e-13,4.01172772237625e-11,"TPBG"
"AQP10",203.154130780482,0.891019998272704,0.266452333127236,3.34401274635199,0.000825759433803237,0.0235330627302676,"AQP10"
"FBLN2",242.859963862121,0.888836455064783,0.287793309301415,3.08845420076766,0.00201200703344533,0.0484184441623569,"FBLN2"
"TIMP3",1036.10130321782,0.880736078608122,0.175773005508652,5.01064470087114,5.42479900863984e-07,4.03771164489958e-05,"TIMP3"
"MB21D2",900.575464318527,0.879600212336293,0.171831576528716,5.11896724749713,3.07213302570933e-07,2.44987825749927e-05,"MB21D2"
"SRPX",1188.49650952086,0.879334845547401,0.1509760507933,5.82433333583012,5.73410276143255e-09,6.7575532240034e-07,"SRPX"
"COL16A1",1088.69950814322,0.873597951647738,0.161420026150179,5.41195521078021,6.23402839259895e-08,5.70450268678055e-06,"COL16A1"
"BAIAP2L1",433.61179824765,0.870183048828822,0.172284755855001,5.05084181424147,4.39867229329412e-07,3.35420324482761e-05,"BAIAP2L1"
"IFITM3",299.028484775263,0.869026267138116,0.249085808292654,3.48886302714238,0.000485079644526356,0.0153127847304317,"IFITM3"
"CGN",259.374668132893,0.864835832469061,0.244322497655667,3.53973064604107,0.00040053560356619,0.0128468697919086,"CGN"
"FHIT",91.6006387781774,0.86304967224632,0.255428690604244,3.37882823658017,0.000727954742330223,0.0214470908554715,"FHIT"
"CRTAC1",199.920814014426,0.856795998958035,0.212135304966586,4.03891280186951,5.36995218311965e-05,0.00237315273183549,"CRTAC1"
"FAM162A",1054.45535808071,0.852952916270008,0.255938994323557,3.33264150906098,0.00086025710076055,0.0242430424989694,"FAM162A"
"SFXN3",2543.25225814769,0.85185633132868,0.14427165267776,5.90453020754781,3.53653070224349e-09,4.50936652492621e-07,"SFXN3"
"ABCC3",918.198270114747,0.851785799226052,0.188200370046946,4.52595177689383,6.01242900154633e-06,0.000347845103906055,"ABCC3"
"OCLN",148.070706734025,0.850761874753437,0.230007869034615,3.69883812377482,0.000216588675679039,0.00774541020428306,"OCLN"
"SGK1",1685.90729646071,0.850042408667903,0.193665857138618,4.38922183407619,1.13756983365236e-05,0.000601905997697145,"SGK1"
"GOLGA7B",424.215619180837,0.848502441387021,0.180064760058689,4.71220710321369,2.45048146158418e-06,0.000156871150684788,"GOLGA7B"
"KCNAB1",218.918280426163,0.847531750385217,0.201315542176824,4.20996680743504,2.55408209050248e-05,0.00124941198112757,"KCNAB1"
"PDZD7",99.5051321664031,0.846183290751481,0.257737379567463,3.28312211512181,0.00102664183078406,0.0278230667590189,"PDZD7"
"COL1A1",2289.69313635571,0.844448592550292,0.18916163394642,4.46416419087119,8.03819083353962e-06,0.000448179557729542,"COL1A1"
"KISS1R",599.061876457146,0.83778919875332,0.230359419388145,3.63687840930734,0.000275962116694753,0.00939358137265554,"KISS1R"
"JPH3",1250.01437560863,0.827750215242404,0.189012011228133,4.3793524541852,1.1903248153656e-05,0.000625563946886057,"JPH3"
"FAM131B-AS2",583.890006349579,0.826714963558299,0.247100524425284,3.34566252127997,0.000820862376106336,0.0234730425049819,"FAM131B-AS2"
"ZNF330",1461.10140871173,0.822529438479731,0.134449279968065,6.11776752300273,9.4895367659433e-10,1.30636490204437e-07,"ZNF330"
"SYBU",1553.88366207608,0.820925689127831,0.123905179106907,6.62543482883412,3.46227463203982e-11,6.19070622712775e-09,"SYBU"
"MYT1L",176.418845496789,0.818659902166816,0.264740276548838,3.09231339046288,0.00198603058059152,0.0479731237759032,"MYT1L"
"STON1",271.369163101597,0.816878127343961,0.210986911100904,3.87170049118967,0.000108078705970509,0.00432984411064505,"STON1"
"ZNF703",131.927837430691,0.81600235426278,0.209629145538322,3.89259972494429,9.91757108243131e-05,0.00401764936870577,"ZNF703"
"GPC4",284.693994975407,0.814759366366805,0.246153660623061,3.3099624206461,0.000933084977143516,0.0257359395468875,"GPC4"
"GSN",1488.78312205366,0.813745584016637,0.193587945862126,4.203493044945,2.62827231530961e-05,0.00127224446944733,"GSN"
"CAVIN1",1333.38568387261,0.813668634658445,0.168207427177826,4.83729314638555,1.31619242839078e-06,9.03631280588388e-05,"CAVIN1"
"CTSC",2490.2265894753,0.811496952359132,0.12402539888681,6.54299006205764,6.0300838950134e-11,1.01960853337857e-08,"CTSC"
"DMTN",1006.7164624112,0.805903010794999,0.16322883738149,4.93725878174018,7.92283097062954e-07,5.67961099442918e-05,"DMTN"
"PFKP",3690.02377748549,0.801326183482057,0.137303064695915,5.83618570537191,5.34093658766438e-09,6.34227789961387e-07,"PFKP"
"ARRDC3",1434.20303041477,0.800978546137055,0.219316424732942,3.65215941812107,0.000260044361380792,0.00898944463475465,"ARRDC3"
"ADAMTS2",1258.05483041734,0.799544925744121,0.25914918011475,3.08526897669553,0.00203368145719989,0.0485710200194012,"ADAMTS2"
"FGFR4",390.891973580637,0.797594725969061,0.162741407857951,4.90099438407983,9.53527824387464e-07,6.71180037835809e-05,"FGFR4"
"STK26",1700.47127545858,0.797374172833808,0.24971822627488,3.19309561311752,0.00140756332038244,0.0362517467083928,"STK26"
"MARCHF4",535.801024253244,0.796236475753415,0.216626064160321,3.67562637875438,0.000237266549514067,0.00831287937892077,"MARCHF4"
"PANX2",340.000334659689,0.795701010956504,0.212474509377096,3.74492457137202,0.000180447981088833,0.00663604915796191,"PANX2"
