"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"BAD",798.881367704902,0.170486805140887,0.323032964176139,0.527769063989166,0.597659631330154,0.999907609585234,"BAD"
"LAP3",2319.88528261407,-0.0838469773959959,0.130927347950918,-0.640408430387121,0.521907103481611,0.999907609585234,"LAP3"
"CD99",5018.92350812228,0.147642625937443,0.264672071587362,0.557832282990652,0.576958915857201,0.999907609585234,"CD99"
"MAD1L1",13.0747578425462,0.572037560703468,0.583567451396914,0.980242402714807,0.326966478286576,0.999907609585234,"MAD1L1"
"LASP1",4461.63423668086,-0.216275462247822,0.200970084592354,-1.07615749222833,0.281856826913859,0.999907609585234,"LASP1"
"SNX11",1935.00591897284,0.0636396570793199,0.129177810804503,0.492651614723767,0.622258771282895,0.999907609585234,"SNX11"
"M6PR",3145.17963185156,-0.0603874218125802,0.247958784127696,-0.243538142941858,0.807588540578793,0.999907609585234,"M6PR"
"KLHL13",13355.4284799493,0.333245816605445,0.194637863921889,1.71213252082946,0.0868722494232334,0.693179474463848,"KLHL13"
"ICA1",2215.54545540038,-0.491260118655717,0.180947273911557,-2.71493517440796,0.00662887447499424,0.123792042416579,"ICA1"
"DBNDD1",2480.07907468245,-0.211171480129295,0.165611425357991,-1.27510212337597,0.202273097928512,0.992179279721958,"DBNDD1"
"ALS2",1972.22693570658,-0.118883597862209,0.291090309752022,-0.4084079540933,0.682974194778571,0.999907609585234,"ALS2"
"CFLAR",915.104023299759,-0.023246950861639,0.186539971610246,-0.124621820519041,0.900822952791309,0.999907609585234,"CFLAR"
"TFPI",477.880871062418,-1.34615253330768,0.280915033250316,-4.79202738896554,1.65104356752011e-06,0.000110705317829064,"TFPI"
"NDUFAF7",564.341762426243,0.0169228453654983,0.199564764020772,0.0847987641933468,0.932421376033938,0.999907609585234,"NDUFAF7"
"RBM5",2829.69125011189,-0.282101242180674,0.11693239931294,-2.4125156401324,0.0158428577047769,0.23651774899761,"RBM5"
"MTMR7",281.050273134709,0.321023438041328,0.273455279289661,1.17395224138744,0.240414155632021,0.999907609585234,"MTMR7"
"SLC7A2",3389.15868095732,0.978507105777328,0.360355401855568,2.7153945819564,0.00661968474765409,0.123792042416579,"SLC7A2"
"ARF5",6185.79770702661,-0.014298904507105,0.251145859837272,-0.056934661460754,0.954597243230667,0.999907609585234,"ARF5"
"SARM1",1325.72214253076,-0.401305085023925,0.336924458783277,-1.19108326677482,0.233620898183806,0.999907609585234,"SARM1"
"POLDIP2",5548.1014449533,0.0668910748014993,0.17339443143733,0.385774065793318,0.699664003853515,0.999907609585234,"POLDIP2"
"PLXND1",1147.72586084464,-0.276877261876398,0.204550573439598,-1.35358829467255,0.175867763410178,0.950920725619996,"PLXND1"
"AK2",3817.71064849118,0.0226726200362844,0.13730777033213,0.16512262912319,0.868847462024383,0.999907609585234,"AK2"
"CD38",15.0338465097894,-1.44960018040434,0.559600768432031,-2.59041849507468,0.00958593182230313,0.163866764206316,"CD38"
"FKBP4",5572.99337424815,0.051371577400697,0.193909275983129,0.264925837818952,0.791066593582011,0.999907609585234,"FKBP4"
"KDM1A",9182.03068804085,-0.00632923092166789,0.0977574562581115,-0.0647442268235444,0.948377648756834,0.999907609585234,"KDM1A"
"RBM6",3793.10297755405,-0.139344982339853,0.130212757068359,-1.0701331073629,0.284559398709535,0.999907609585234,"RBM6"
"CAMKK1",347.484528482883,-0.361141345069223,0.186671523905602,-1.93463543615709,0.0530350483279461,0.524483923578849,"CAMKK1"
"RECQL",1267.89199526082,-0.127432806703852,0.336052038230696,-0.379205575942291,0.704535211251073,0.999907609585234,"RECQL"
"VPS50",1397.62018392586,-0.0834951084912735,0.196431406235825,-0.425059872508542,0.670793029210505,0.999907609585234,"VPS50"
"HSPB6",23.9024689867302,-0.789182566194397,0.434980248756727,-1.81429517420633,0.0696322941319327,0.615652283677558,"HSPB6"
"ARHGAP33",737.223219687177,-0.534822068769117,0.224076175077264,-2.3867868531079,0.0169963421500968,0.248491633916265,"ARHGAP33"
"NDUFAB1",2267.66453520345,0.0541791805294543,0.28867131628772,0.18768466928475,0.851123848837875,0.999907609585234,"NDUFAB1"
"PDK4",180.786841316105,-0.75600537309535,0.268484272579768,-2.8158274070625,0.00486517956475129,0.0964111252347401,"PDK4"
"ZMYND10",73.0346263731076,-0.329617833569007,0.40398911150688,-0.815907716768731,0.41455291826831,0.999907609585234,"ZMYND10"
"SLC25A13",4564.04402952942,-0.103002573160695,0.14565021719348,-0.707191346126644,0.479447575686046,0.999907609585234,"SLC25A13"
"ST7",996.205261991072,0.0464794298765551,0.152461619135415,0.304859873193872,0.760472878371084,0.999907609585234,"ST7"
"CDC27",3174.96501667491,0.0223066871836172,0.233579166864722,0.0954994723332335,0.923918109362921,0.999907609585234,"CDC27"
"HCCS",1061.8275151163,0.0370321746258533,0.202012858272346,0.18331592821645,0.854550137256519,0.999907609585234,"HCCS"
"DVL2",3734.02284306205,-0.138937652468552,0.202240989934001,-0.686990567608932,0.492088672393624,0.999907609585234,"DVL2"
"UPF1",6559.8025500565,-0.186584070038866,0.204421416398529,-0.912742281733887,0.361378100786252,0.999907609585234,"UPF1"
"SKAP2",47.3023698553936,0.329703948654164,0.405316939991,0.813447246151331,0.415961680547433,0.999907609585234,"SKAP2"
"SLC25A5",8354.41048272733,0.116611070791281,0.23312662419735,0.500204861597301,0.616930835510127,0.999907609585234,"SLC25A5"
"MCUB",469.618553825732,0.156110258809845,0.286598348913818,0.544700482056121,0.585959533250057,0.999907609585234,"MCUB"
"POLR2J",2911.77231709853,-0.00382010187945466,0.289343201244338,-0.0132026668089179,0.989466102020643,0.999907609585234,"POLR2J"
"DHX33",2409.11726124429,-0.185207204317141,0.279977829749446,-0.661506678878412,0.508287432852283,0.999907609585234,"DHX33"
"THSD7A",3470.67310838739,0.400774129160133,0.367079686778447,1.09179053920797,0.274925178400235,0.999907609585234,"THSD7A"
"LIG3",1488.28398062872,-0.138090657729824,0.255646315411836,-0.540162910258906,0.589084688593716,0.999907609585234,"LIG3"
