"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"RHCE",77.418883279773,1.10463235162583,0.341756196792725,3.23222332760154,0.00122831017929448,0.0262655770504392,"RHCE"
"JAG2",461.112841638736,1.10330065376945,0.23136047270609,4.76875172696866,1.85370940810891e-06,9.0683114488196e-05,"JAG2"
"TRIM9",118.622423509639,1.1017902638943,0.26984770773058,4.08300768296442,4.44565526331663e-05,0.00156556505045354,"TRIM9"
"NEIL2",214.87743480927,1.09935304788731,0.327803502965228,3.35369524102957,0.000797401357303409,0.0183163886524776,"NEIL2"
"ALDOA",76.6630758610751,1.09622061175392,0.297743455629651,3.68176223868866,0.00023162737374375,0.00651888057828068,"ALDOA"
"RAB3B",559.022768030064,1.09204666566164,0.349801002203279,3.12190833869314,0.00179682873067515,0.0356093684586758,"RAB3B"
"LOC124905528",47.1907151403295,1.08859625693345,0.358383309868835,3.0375194015923,0.00238534048745704,0.0447348394130506,"LOC124905528"
"SFXN3",2527.20269729045,1.08584398322292,0.163947799448991,6.62310800676995,3.51723827067964e-11,3.76054413455862e-09,"SFXN3"
"SPINT1",136.360725277448,1.08373522704397,0.307457639268409,3.52482777667424,0.000423758197625308,0.0108916883954698,"SPINT1"
"RTN1",7543.50607674148,1.08132838723897,0.164982530431561,6.55419931074176,5.59412107491893e-11,5.83081705205872e-09,"RTN1"
"PANX2",346.156082881864,1.08126987799655,0.224250173751494,4.82171255392101,1.42330947958453e-06,7.21816264683184e-05,"PANX2"
"SULT4A1",306.528705535066,1.08082463024809,0.245576450581752,4.40117375948589,1.0766685843799e-05,0.000447540276096351,"SULT4A1"
"KIF5A",1007.84329583035,1.07943170145753,0.294388712806576,3.66668847853129,0.000245711829571213,0.00687794165852374,"KIF5A"
"GRIA3",286.732983411718,1.07893668852624,0.308663958709037,3.49550589916232,0.000473163993463272,0.0119251124573696,"GRIA3"
"RASSF2",272.67489569325,1.07357478887574,0.274247943470534,3.91461381729955,9.05490172108095e-05,0.00286433070565171,"RASSF2"
