"","Control1_Count","Control2_Count","Control3_Count","FIH22KO1_Count","FIH22KO2_Count","FIH22KO3_Count","FIH23KO1_Count","FIH23KO2_Count","FIH23KO3_Count"
"TSEN15",10.5762292242752,10.5316045307203,10.4795071869399,10.578596151479,10.5977251609237,10.5164350319511,10.2075072557099,10.5842795308584,10.7359213726859
"TSEN2",8.94083988367217,8.82357624670472,8.87184927233429,8.97573160899827,8.97524340141356,8.93608878901301,8.75565101053441,8.66616326676736,8.78238497101175
"TSEN34",5.93969110630332,5.88125861344238,5.78008632682453,5.8134312087533,5.9001667146323,6.46070209809698,7.17268455962962,5.86761631282433,5.69480422834587
"TSEN54",11.1298525015875,10.729680975033,10.8125760590921,10.8944755155024,10.4923061910929,10.8128163186962,10.7905582856649,10.6113196429369,10.8709001730671
"TSFM",10.5054418736103,10.2638001080528,10.2494425578544,10.4946409436431,10.2062467651504,10.4505932051622,10.1224515491953,10.1668508335661,10.5227585342546
"TSG101",12.1404921040192,11.8899105589765,11.8219758836335,12.1752522132321,11.9236331310615,12.0214475016587,11.8214829625654,11.8901698478264,12.099695929603
"TSGA10",5.23691722969157,5.32736554572821,5.09517886257147,5.30244071077475,5.21201048053956,5.32366897043799,5.27283128029254,5.42600674769868,5.30205817382401
"TSHZ1",11.7949741519353,12.2893086707006,12.1819920351537,11.8676933452473,12.3000684170547,11.9571373078219,12.3542939338481,12.3299599982623,11.8717687604424
"TSHZ2",7.79883242352663,8.20042830716836,8.04721631147723,8.26459067076943,8.87603358257673,8.41170668622291,8.68382689454723,8.82999346790073,8.56517166764464
"TSHZ3",9.48621555484189,9.90330586307565,9.93189484667591,9.42260635156362,9.80752664963885,9.57529855560489,10.0107114542282,9.88676515186319,9.57743760221832
"TSKU",10.9294436668083,11.0475797645747,11.1248764348842,10.9312728424861,10.9369717433387,11.0588729614676,11.2091854959447,11.0247371684498,10.9511287587809
"TSL",6.65029612744775,6.35930970869872,6.48470454775447,6.69907328374278,6.54289371560161,6.47660857856445,6.42952024702742,6.55239162203864,6.69294618966373
"TSLP",8.27204987473614,7.81619143998895,7.88773076551915,8.60617294182422,8.46144487494064,8.63783702603501,7.48271029048755,7.87344468467535,8.29399082020453
"TSN",12.0638457528485,11.9720472824397,11.9176853261694,11.9587106192544,11.9040460127967,11.8942088756051,11.6398983977122,11.8424479113559,11.9749620948825
"TSNARE1",9.22748362327789,9.31537282966286,9.34207926901705,9.05405920748649,9.14271289948094,9.25671393363704,9.23274400426701,9.08591070359906,9.06066577665734
"TSNAX",11.5370885708037,11.2089076244436,10.9585421570858,11.2697551776532,11.3664982685308,11.4885407817181,10.1335648927623,10.7014117962496,11.4278874000035
"TSNAXIP1",7.38602585696864,7.40604852308068,7.47094448743821,7.56996635806504,7.3990684253352,7.49951932591038,7.27033507788062,7.32064464532095,7.42541981515528
"TSPAN10",7.81042526390441,7.41826625255841,7.56701135913838,7.97662121626266,7.61290780090318,7.84444325259603,7.92204918450668,7.46475721178562,7.77525752468996
